TAR_ENRE;MEDIDOR;FACTURA;IMP_TOTAL_FACTURA;IMP_ENE_REACT;DIRECCION;NOM_CLIENTE;TENSION;ID_CUENTA;ENERGIA_ACTIVA;FECHA_LEC_DESDE;FECHA_LEC_HASTA;DISTRIBUIDORA;FECH_VTO;FECHA_ARCHIVO;FECHA_ARCHIVO_MODIF;IMP_CONCEPTOS_ELECTRICOS;POT_CONTR;POT_ADQUIRIDA;POT_EXCESO;ENE_REACT;IMP_ENERGIA_ACTIVA;IMP_IMPUESTOS_Y_AJUSTES;Potencia_Optima;COSENO;AÑO FACTURA;Qi;Qf;Qc;Test Qi-Qc;Qc promedio;Qc banco;Cargo_pot_Contratada_Actual;Cargo_pot_excedida_Actual;Cargo_pot_Contratada_Optima;Cargo_pot_excedida_Optima;Importe_Potencia_Actual_Con_impuestos;Importe_Potencia_Optima_Con_impuestos;Cargo_Desvio_optimo;Inmuebles.latitude;Inmuebles.longitude;Inmuebles.TABLA INMUEBLES.DENOMINACION;Inmuebles.TABLA INMUEBLES.NIVEL GESTION 1;IMP_CARGO_POR_POTENCIA;REPARTICION
1;15000622;35384901;1.298,40 ARS;169,45;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;641,0;20/11/2016;22/12/2016;EDESUR;24/2/2017;201701;01/2017;908,88 ARS;0;0;0;654;755,74;373,21 ARS;0;0,7;2017;8.174.385.041;4.965.701.511;3.208.683.529;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;1002652;35384893;4.731,47 ARS;336,64;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2777,0;24/11/2016;26/12/2016;EDESUR;24/2/2017;201701;01/2017;3.312,03 ARS;0;0;0;2301;2163,28;2.231,55 ARS;0;0,77;2017;2.876.376.413;2.151.287.535;7.250.888.783;inconsistencia;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;35098288;5.398,87 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3876,0;14/11/2016;16/12/2016;EDESUR;24/2/2017;201701;01/2017;3.779,21 ARS;0;0;0;2402;3019,4;2.379,47 ARS;0;0,85;2017;300.266.132;300.266.132;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;37813616;756,57 ARS;53,85;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;384,0;22/12/2016;21/1/2017;EDESUR;22/3/2017;201702;02/2017;529,60 ARS;0;0;0;318;452,74;249,98 ARS;0;0,77;2017;397.741.643;2.974.772.824;1.002.643.606;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;1002652;38039162;3.976,41 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2594,0;26/12/2016;24/1/2017;EDESUR;22/3/2017;201702;02/2017;2.783,49 ARS;0;0;0;1608;2020,73;1.955,68 ARS;0;0,85;2017;2.009.521.017;2.009.521.017;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;37503725;4.830,28 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3402,0;16/12/2016;15/1/2017;EDESUR;22/3/2017;201702;02/2017;3.381,20 ARS;0;0;0;2108;2650,16;2.180,12 ARS;0;0,85;2017;2.635.462.799;2.635.462.799;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;39610580;869,35 ARS;46,09;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;398,0;21/1/2017;21/2/2017;EDESUR;26/4/2017;201703;03/2017;608,55 ARS;0;0;0;299;486,96;336,30 ARS;0;0,8;2017;373.125;3.083.228.084;6.480.219.164;inconsistencia;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
1;1002652;39610570;4.927,99 ARS;0;B PIEDRAB FTE ESC 55A          1439               ;UNIDAD SANITARIA              ;BT;2000035;2594,0;24/1/2017;22/2/2017;EDESUR;26/4/2017;201703;03/2017;3.449,59 ARS;0;0;0;1608;3435,17;1.492,82 ARS;0;0,85;2017;2.009.521.017;2.009.521.017;0;ok;7.250.888.783;800;0;0;0;0;0;0;0;-34,6780538;-58,4928629;Unidad Sanitaria Movil;MINISTERIO DE SALUD;0;MINISTERIO DE SALUD J.40
1;7459230;39300483;5.949,62 ARS;0;DEFENSA 229  1065                                 ;MUSEO DE LA CIUDAD            ;BT;3414461;3517,0;15/1/2017;15/2/2017;EDESUR;26/4/2017;201703;03/2017;4.164,73 ARS;0;0;0;2180;3935,75;2.013,87 ARS;0;0,85;2017;2.724.551.048;2.724.551.048;0;ok;0;0;0;0;0;0;0;0;0;-34,6105131;-58,3720754;MUSEO DE LA CIUDAD DE BUENOS AIRES;MINISTERIO DE CULTURA;0;MUSEO DE LA CIUDAD
1;15000622;42145555;1.703,96 ARS;189,08;BARRIO LUGANO 1Y2 EDIF 23   1439                  ;BIBLIOTECA CHORROARIN         ;BT;2001876;651,0;21/2/2017;26/3/2017;EDESUR;23/5/2017;201704;04/2017;1.192,77 ARS;0;0;0;592;953,99;560,89 ARS;0;0,74;2017;7.396.403.237;5.043.169.554;2.353.233.683;ok;3.208.683.529;350;0;0;0;0;0;0;0;-34,6839261;-58,4652489;D.G. LIBRO Y PROM. LECTURA J. 50;MINISTERIO DE CULTURA;0;D.G. LIBRO Y PROM. LECTURA J. 50
